Timestamp,Open,High,Low,Close,Volume
2018-03-10 00:00:00,725.121,734.293,725.121,733.788,201.175
2018-03-10 00:15:00,732.03,735.0,727.0,729.32,47.586
2018-03-10 00:30:00,731.343,733.781,730.072,732.3,59.172
2018-03-10 00:45:00,733.945,735.0,731.781,734.361,23.596
2018-03-10 01:00:00,734.0,736.403,734.0,734.409,24.299
2018-03-10 01:15:00,736.029,736.403,731.642,734.007,105.231
2018-03-10 01:30:00,736.151,743.388,734.127,743.13,110.008
2018-03-10 01:45:00,743.13,745.1,738.276,738.276,89.511
2018-03-10 02:00:00,740.0,742.004,734.131,735.0,61.355
2018-03-10 02:15:00,734.131,739.0,733.431,737.961,51.321
2018-03-10 02:30:00,733.431,733.431,728.811,730.011,16.97
2018-03-10 02:45:00,730.813,738.131,730.813,733.233,13.279
2018-03-10 03:00:00,733.916,735.751,722.131,724.721,98.667
2018-03-10 03:15:00,725.15,726.0,722.0,722.0,70.908
2018-03-10 03:30:00,722.0,728.803,720.837,725.0,37.306
2018-03-10 03:45:00,725.124,730.91,724.057,730.0,37.852
2018-03-10 04:00:00,730.593,730.872,724.98,728.516,24.103
2018-03-10 04:15:00,728.516,735.4,728.179,734.073,25.95
2018-03-10 04:30:00,734.973,738.131,734.115,736.158,17.962
2018-03-10 04:45:00,735.457,735.537,732.101,732.505,31.368
2018-03-10 05:00:00,732.609,733.953,729.362,729.362,24.212
2018-03-10 05:15:00,730.0,730.0,725.056,729.522,19.754
2018-03-10 05:30:00,729.0,733.487,728.179,728.836,17.907
2018-03-10 05:45:00,729.644,734.243,729.644,734.21,12.618
2018-03-10 06:00:00,734.243,743.487,734.243,743.487,42.928
2018-03-10 06:15:00,743.0,743.0,740.441,741.395,61.804
2018-03-10 06:30:00,741.395,742.969,737.192,737.192,20.91
2018-03-10 06:45:00,737.192,740.764,737.192,740.0,94.628
2018-03-10 07:00:00,737.192,740.0,733.2,738.0,24.837
2018-03-10 07:15:00,735.0,737.0,733.2,733.2,16.802
2018-03-10 07:30:00,733.2,733.2,727.334,728.061,23.32
2018-03-10 07:45:00,730.0,737.352,728.061,733.463,48.08
2018-03-10 08:00:00,732.685,734.969,728.07,733.0,30.661
2018-03-10 08:15:00,733.403,734.524,728.11,730.3,13.99
2018-03-10 08:30:00,734.524,734.524,731.0,733.812,12.656
2018-03-10 08:45:00,731.164,733.054,730.31,730.31,10.484
2018-03-10 09:00:00,730.31,731.337,722.452,722.46,33.865
2018-03-10 09:15:00,724.796,725.692,723.189,724.114,7.57
2018-03-10 09:30:00,725.2,728.122,723.637,725.707,12.962
2018-03-10 09:45:00,725.916,727.177,723.821,723.859,19.919
2018-03-10 10:00:00,723.892,725.824,716.308,718.101,154.92
2018-03-10 10:15:00,719.928,722.676,719.928,722.0,14.229
2018-03-10 10:30:00,722.0,727.072,720.3,725.846,85.964
2018-03-10 10:45:00,726.29,727.399,725.019,726.462,7.06
2018-03-10 11:00:00,724.975,727.353,724.975,727.353,5.715
2018-03-10 11:15:00,726.3,726.386,723.116,725.389,30.257
2018-03-10 11:30:00,725.389,731.799,724.762,731.799,5.314
2018-03-10 11:45:00,731.799,732.8,730.295,732.8,19.036
2018-03-10 12:00:00,729.735,732.0,726.761,728.0,5.16
2018-03-10 12:15:00,726.992,729.447,726.172,726.874,15.646
2018-03-10 12:30:00,727.007,727.066,722.209,722.929,23.25
2018-03-10 12:45:00,722.929,726.089,720.981,724.549,10.07
2018-03-10 13:00:00,723.474,724.897,723.053,723.053,12.03
2018-03-10 13:15:00,723.053,725.562,720.3,725.562,14.51
2018-03-10 13:30:00,725.269,727.145,723.672,727.145,5.709
2018-03-10 13:45:00,723.155,726.394,723.155,724.067,6.874
2018-03-10 14:00:00,723.312,736.541,723.21,732.862,20.655
2018-03-10 14:15:00,736.54,738.5,733.862,737.826,15.746
2018-03-10 14:30:00,735.735,738.5,735.317,735.317,11.347
2018-03-10 14:45:00,737.155,738.5,735.317,735.317,1.634
2018-03-10 15:00:00,738.5,738.5,733.431,734.801,27.494
2018-03-10 15:15:00,736.6,738.0,736.6,736.6,9.908
2018-03-10 15:30:00,736.6,736.6,731.435,732.478,50.012
2018-03-10 15:45:00,734.751,735.0,729.783,731.263,23.438
2018-03-10 16:00:00,731.263,732.947,728.549,729.939,16.13
2018-03-10 16:15:00,732.272,736.277,730.919,733.493,33.749
2018-03-10 16:30:00,732.998,733.5,730.116,733.5,31.87
2018-03-10 16:45:00,733.493,735.513,733.044,733.044,23.621
2018-03-10 17:00:00,733.044,735.08,728.142,728.142,46.301
2018-03-10 17:15:00,731.053,731.866,724.0,724.214,20.755
